#   N_BLOCK:  ACCEPTANCE:
           1    0.187248
           2    0.187236
           3    0.187197
           4    0.187202
           5    0.187274
           6    0.187154
           7    0.187126
           8    0.187129
           9    0.187172
          10    0.187111
          11    0.187177
          12    0.187175
          13    0.187193
          14    0.187201
          15    0.187222
          16     0.18719
          17     0.18725
          18    0.187273
          19     0.18726
          20    0.187309
