#   N_BLOCK:  ACCEPTANCE:
           1    0.386739
           2    0.387007
           3    0.387224
           4    0.387096
           5    0.386814
           6    0.386718
           7    0.386669
           8    0.386616
           9    0.386671
          10    0.386662
          11    0.386609
          12    0.386632
          13    0.386645
          14    0.386642
          15    0.386636
          16     0.38674
          17    0.386703
          18    0.386671
          19    0.386653
          20    0.386693
