#   N_BLOCK:  ACCEPTANCE:
           1    0.353383
           2    0.353448
           3     0.35347
           4    0.353476
           5    0.353498
           6    0.353593
           7     0.35356
           8     0.35351
           9    0.353505
          10    0.353534
          11    0.353612
          12    0.353604
          13    0.353602
          14    0.353568
          15    0.353538
          16    0.353535
          17    0.353532
          18    0.353575
          19    0.353587
          20    0.353588
