#   N_BLOCK:  ACCEPTANCE:
           1    0.412114
           2     0.41215
           3    0.412191
           4    0.412164
           5    0.412164
           6    0.412183
           7     0.41218
           8    0.412189
           9     0.41219
          10    0.412208
          11    0.412223
          12    0.412221
          13    0.412235
          14    0.412201
          15      0.4122
          16    0.412196
          17    0.412193
          18     0.41223
          19    0.412235
          20    0.412226
